textContent	src	publishedDate	category	newCategory	orgName	tags
 🦠 Covid-19 is an infectious disease caused by a virus referred to as SARS-CoV-2. The reservoir of the virus is probably of animal origin.	https://www.pasteur.fr/en/medical-center/disease-sheets/covid-19-disease-novel-coronavirus#cause	2020-06-09	Causes	causes.cause	Pasteur	Origin#Cause
😷 The duration of incubation of Covid-19 is an average of 5 days, with extremes of 2 to 12 days.	https://www.pasteur.fr/en/medical-center/disease-sheets/covid-19-disease-novel-coronavirus#cause	2020-06-09	Causes	causes.incubataion	Pasteur	#Incubation#Symptoms
🙅🏾‍♂️ Currently there is no evidence to suggest contact lens wearers are more at risk for acquiring COVID-19 than eyeglass wearers.	https://www.cdc.gov/coronavirus/2019-ncov/faq.html#How-COVID-19-Spreads	2020-06-02	Causes	causes.contacts	CDC	contact lense#risk#infection#eyeglass
🦠 The coronavirus disease (COVID-19) is caused by a virus, NOT by bacteria.	https://www.who.int/emergencies/diseases/novel-coronavirus-2019/advice-for-public/myth-busters 	2020-06-09	Causes	causes.virus	WHO 	bacteria#cause
🙅🏾‍♀️ The prolonged use of medical masks when properly worn, DOES NOT cause CO2 intoxication nor oxygen deficiency	https://www.who.int/emergencies/diseases/novel-coronavirus-2019/advice-for-public/myth-busters 	2020-06-05	Misinformation	misinformation.mask	WHO 	medical mask#cause#co2#oxygen decifiency#prolonged#extended#intoxication
🚫 Based on available evidence, children DO NOT APPEAR to be at higher risk for COVID-19 than adults.	https://www.cdc.gov/coronavirus/2019-ncov/faq.html#How-COVID-19-Spreads	2020-06-02	Misinformation	misinformation.children	CDC	children#risk#high
🙅🏾‍♂️ We DO NOT KNOW yet if people who recover from COVID-19 can get infected again.	https://www.cdc.gov/coronavirus/2019-ncov/faq.html#How-COVID-19-Spreads	2020-06-02	Misinformation	misinformation.recover	CDC	recover#immune
🤱🏽 Women with confirmed or suspected COVID-19 CAN breastfeed if they wish to do so	https://www.who.int/emergencies/diseases/novel-coronavirus-2019/question-and-answers-hub/q-a-detail/q-a-on-covid-19-and-breastfeedingg	2020-05-07	Misinformation	misinformation.breast.milk	WHO	breastfeed#confirmed#positive
🧪 Two kinds of tests for COVID-19 are available: Viral tests & Antibody tests.Viral test tell you if you have a current infection. An Antibody test tells you if you had a previous infection.	https://www.cdc.gov/coronavirus/2019-ncov/symptoms-testing/testing.html	2020-05-01	Misinformation	misinformation.test	CDC	test#type#viral#antibody#infection#current#previous
🌡️ Thermal/Temperature scanners CANNOT detect COVID-19. They are only useful in detecting people who have a fever (i.e. have a higher than normal body temperature).	https://www.who.int/emergencies/diseases/novel-coronavirus-2019/advice-for-public/myth-busters 	2020-05-27	Misinformation	misinformation.temperature	WHO 	thermal scanner#temperature#detect
ℹ️ For the general public, CDC recommends wearing gloves when you are cleaning or caring for someone who is sick. In most other situations, like running errands, wearing gloves is not necessary.	https://www.cdc.gov/coronavirus/2019-ncov/prevent-getting-sick/gloves.html	2020-05-09	Prevention	prevention.gloves	CDC	gloves#protect#errands#care#sick
☁️ It is not yet known whether weather and temperature affect the spread of COVID-19.	https://www.cdc.gov/coronavirus/2019-ncov/faq.html#How-COVID-19-Spreads	2020-06-02	Prevention	prevention.weather	CDC	temperature#weather#hot#affect#spread#covid19#cold weather#kill virus#cannot survive
😷 A cloth face covering is not intended to protect the wearer, but may prevent the spread of virus from the wearer to others.	https://www.cdc.gov/coronavirus/2019-ncov/faq.html#How-COVID-19-Spreadss	2020-06-02	Prevention	prevention.mask	CDC	cloth#face mask#prevent#transmission
🙅🏾‍♂️ There is NO EVIDENCE from the current outbreak that eating garlic has protected people from the new coronavirus.	https://www.who.int/emergencies/diseases/novel-coronavirus-2019/advice-for-public/myth-busters	2020-04-05	Prevention	prevention.garlic	WHO	garlic#eat#prevent#protect
🧴 If you live with someone sick, wear a mask and clean surfaces frequently, using disinfectant cleaners or wipes.	https://www.hopkinsmedicine.org/health/conditions-and-diseases/coronavirus/how-can-i-protect-myself-from-coronavirus	2020-04-09	Prevention	prevention.clean	Hopkins	recommend#sick#disinfect#surface
📏 Social distancing is deliberately increasing the physical space between people to avoid spreading illness (Staying at least six feet away, wearing masks)	https://www.hopkinsmedicine.org/health/conditions-and-diseases/coronavirus/coronavirus-social-distancing-and-self-quarantine	2020-04-11	Prevention	misinformation.social	Hopkins	#social#distance#what#mean#explain
🙅🏾‍♀️ There is no reliable evidence so far to suggest that cannabis can prevent, treat or cure COVID-19.	https://learnaboutcovid19.org/	2020-06-14	Prevention	prevention.cannabis	https://learnaboutcovid19.org/	cannabis#marijuana#prevent#treat#cannabidiol
🙅🏾‍♀️ Alum has NOT BEEN SHOWN to be an effective alternative for sanitizer or disinfectants.	https://learnaboutcovid19.org//	2020-06-14	Prevention	prevention.alum	https://learnaboutcovid19.org/	alum#disinfect#kill#virus#cleaning
🙅🏾‍♂️ Vitamin C CANNOT prevent you from getting sick or from contracting COVID-19. It is neither a cure nor a prevention method for the virus. 	https://learnaboutcovid19.org/	2020-06-13	Prevention	prevention.vc	https://learnaboutcovid19.org/	vitamin c#prevent#cure
🙅🏾‍♂️ There is no evidence that taking anti-HIV drugs will stop you getting COVID-19	https://www.avert.org/coronavirus/covid-19-myths-and-facts	2020-06-10	Prevention	prevention.hiv.medication	AVERT	anti hiv#medication#arv#prevent
👴🏿 👵🏾 Adults of 60 and older are especially vulnerable to severe illness if they get COVID-19. If an elder in your household develops symptoms such as cough, fever or shortness of breath, call your a doctor or urgent care facility for advice.	https://www.hopkinsmedicine.org/health/conditions-and-diseases/coronavirus/coronavirus-caregiving-for-the-elderly	2020-06-10	Prevention	prevention.family	Hopkins	caregiving#elders#recommend#old#family#vulnerable
🧒🏽 The best way to prevent children from becoming sick with COVID-19 is to avoid exposing them to people who are (or who might be) sick with the virus	https://www.hopkinsmedicine.org/health/conditions-and-diseases/coronavirus/coronavirus-in-babies-and-children	2020-05-13	Prevention	prevention.children	Hopkins	kids#Isolation#children#general#recommendations#infect#catch
ℹ️ Poorly controlled diabetes in children can weaken the immune system, so parents and doctors should watch these children carefully.	https://www.hopkinsmedicine.org/health/conditions-and-diseases/coronavirus/coronavirus-in-babies-and-children	2020-05-13	Prevention	prevention.diabetes	Hopkins	#kids#children#diabetes#immune
🚫 The flu shot is NOT EFFECTIVE against the coronavirus (COVID-19)	https://www.uchicagomedicine.org/forefront/prevention-and-screening-articles/wuhan-coronavirus	2020-05-08	Prevention	prevention.flu.shot	University of Chicago Medicine	flu#shot#prevent#covid19#cure
🚫 The pneumonia vaccine DOES NOT protect against the coronavirus (COVID-19).	https://www.uchicagomedicine.org/forefront/prevention-and-screening-articles/wuhan-coronavirus	2020-05-08	Prevention	prevention.pnuemonia	University of Chicago Medicine	pnuemonia#vaccine#protect#covid19
ℹ️ Cancer patients are among those at high risk of serious illness from an infection because their immune systems are often weakened by cancer and its treatments.	https://www.uchicagomedicine.org/forefront/coronavirus-disease-covid-19/coronavirus-information-for-cancer-patients	2020-03-23	Prevention	prevention.cancer	University of Chicago Medicine	cancer#risk#high#patient
🤰🏾 Because current knowledge on COVID-19 and pregnancy is limited, it is not clear if just being pregnant will put you at higher risk.	https://www.uchicagomedicine.org/forefront/coronavirus-disease-covid-19/pregnancy-and-coronavirus-covid-19	2020-03-25	Prevention	prevention.pregnant.risk	University of Chicago Medicine	#pregnant#risk#high
ℹ️ Scientists do not know yet if having antibodies to the virus can protect someone from getting infected with the virus again, or how long that protection might last.	https://www.cdc.gov/coronavirus/2019-ncov/symptoms-testing/testing.html	2020-05-01	Prevention	prevention.immune	CDC	test#antibody#immune#recover
🧪 If you test negative for COVID-19 by a viral test, you probably were not infected at the time your sample was collected. However, that does not mean you will not get sick.	https://www.cdc.gov/coronavirus/2019-ncov/symptoms-testing/testing.html	2020-05-01	Prevention	prevention.test.result	CDC	test#viral#result#negative
🚫 Exposing yourself to the sun or to high temperatures DOES NOT prevent the coronavirus disease (COVID-19). You can catch COVID-19, no matter how sunny, hot or humid the weather is. 	https://www.who.int/emergencies/diseases/novel-coronavirus-2019/advice-for-public/myth-busters 	2020-04-27	Prevention	prevention.temperature	WHO 	#sun#high#temperature#prevent
🚫 Drinking alcohol does not protect you against COVID-19 and can be dangerous. The harmful use of alcohol increases your risk of health problems.	https://www.who.int/emergencies/diseases/novel-coronavirus-2019/advice-for-public/myth-busters	2020-05-27	Prevention	prevention.alcohol	WHO 	alcohol#beer#protect
🙅🏾‍♂️Adding pepper to your soup or other meals DOES NOT prevent or cure COVID-19.	https://www.who.int/emergencies/diseases/novel-coronavirus-2019/advice-for-public/myth-busters 	2020-04-27	Prevention	prevention.pepper	WHO 	pepper#soup#hot#prevent#cure#food
🚫 Drinking methanol, ethanol or bleach DOES NOT prevent or cure COVID-19 and can be extremely dangerous.	https://www.who.int/emergencies/diseases/novel-coronavirus-2019/advice-for-public/myth-busters 	2020-04-05	Prevention	prevention.drink	WHO 	bleach#dettol#drink#bathe#disinfectant#ethanol#methanol#bleach
🙅🏾‍♀️ Cold weather and snow CANNOT kill the new coronavirus.	https://www.who.int/emergencies/diseases/novel-coronavirus-2019/advice-for-public/myth-busters 	2020-04-27	Prevention 	prevention.cold	WHO 	snow#cold#kill#coronavirus#virus#covid19
ℹ️ Globally, by {Insert Yesterday's date}, according to{Insert API source}, {Insert statistic pulled from API} cases of Covid-19 have been confirmed and {Insert statistic pulled from API} patients have died.	https://www.pasteur.fr/en/medical-center/disease-sheets/covid-19-disease-novel-coronavirus	2020-05-17	Statistics	statistics	Institut Pasteur	
🦠 Most people who become infected with the virus have mild symptoms and may not know they are sick. A small number of older patients develop a severe form of pneumonia, which can lead to death. 	https://www.uchicagomedicine.org/forefront/prevention-and-screening-articles/wuhan-coronavirus	2020-05-08	Symptoms	symptoms.mild	University of Chicago Medicine	mild#older#younger
👩🏾‍⚕️ If someone is showing any of these signs, seek emergency medical care immediately     * Trouble breathing     * Persistent pain or pressure in the chest     * New confusion     * Inability to wake or stay awake     * Bluish lips or face	https://www.cdc.gov/coronavirus/2019-ncov/symptoms-testing/symptoms.html		Symptoms	symptoms.symptoms	CDC	Trouble breathing#pain#chest#confusion#awake#wake#lips#blue
